,Experiment,Seed Type,Morphology,Replica,topkd after 1 Labels,topkd after 2 Labels,topkd after 3 Labels,topkd after 4 Labels,topkd after 5 Labels,topkd after 6 Labels,topkd after 7 Labels,topkd after 8 Labels,topkd after 9 Labels,topkd after 10 Labels,topkd after 11 Labels,topkd after 12 Labels,topkd after 13 Labels,topkd after 14 Labels,topkd after 15 Labels,topkd after 16 Labels,topkd after 17 Labels,topkd after 18 Labels,topkd after 19 Labels,topkd after 20 Labels,topkd after 21 Labels,topkd after 22 Labels,topkd after 23 Labels,topkd after 24 Labels,topkd after 25 Labels,topkd after 26 Labels,topkd after 27 Labels,topkd after 28 Labels,topkd after 29 Labels,topkd after 30 Labels,topkd after 31 Labels,topkd after 32 Labels,topkd after 33 Labels,topkd after 34 Labels,topkd after 35 Labels,topkd after 36 Labels,topkd after 37 Labels,topkd after 38 Labels,topkd after 39 Labels,topkd after 40 Labels,topkd after 41 Labels,topkd after 42 Labels,topkd after 43 Labels,topkd after 44 Labels,topkd after 45 Labels,topkd after 46 Labels,topkd after 47 Labels,topkd after 48 Labels,topkd after 49 Labels,topkd after 50 Labels
0,oracle,seeded,string,0,,,,,6.743666666666667,5.168666666666667,3.5936666666666666,2.0186666666666664,0.44366666666666665,0.4351333333333333,0.4266,0.4180666666666667,0.40953333333333336,0.401,0.3814666666666667,0.36193333333333333,0.34240000000000004,0.3228666666666667,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334
1,oracle,seeded,string,1,,,,,3.669333333333333,2.827833333333333,1.986333333333333,1.1448333333333331,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334
2,oracle,seeded,string,2,,,,,7.3806666666666665,5.656583333333334,3.9325,2.2084166666666665,0.48433333333333334,0.44826666666666665,0.4122,0.3761333333333333,0.34006666666666663,0.304,0.2878,0.2716,0.2554,0.2392,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223
3,oracle,seeded,string,3,,,,,7.906999999999999,6.567833333333333,5.228666666666666,3.8895,2.550333333333333,2.464733333333333,2.3791333333333333,2.2935333333333334,2.207933333333333,2.122333333333333,2.122333333333333,2.122333333333333,2.122333333333333,2.122333333333333,2.122333333333333,2.122333333333333,2.122333333333333,2.122333333333333,2.122333333333333,2.122333333333333,2.122333333333333,2.122333333333333,2.122333333333333,2.122333333333333,2.122333333333333,1.9969333333333332,1.8715333333333333,1.746133333333333,1.6207333333333331,1.4953333333333332,1.4303333333333332,1.3653333333333333,1.3003333333333333,1.2353333333333334,1.1703333333333334,1.1703333333333334,1.1703333333333334,1.1703333333333334,1.1703333333333334,1.1703333333333334,1.0698,0.9692666666666667,0.8687333333333335,0.7682000000000001,0.6676666666666667,0.6676666666666667
4,oracle,seeded,string,4,,,,,5.104333333333333,4.2375,3.3706666666666667,2.5038333333333336,1.6370000000000002,1.4659333333333335,1.2948666666666668,1.1238000000000001,0.9527333333333333,0.7816666666666666,0.7729999999999999,0.7643333333333333,0.7556666666666666,0.747,0.7383333333333333,0.7352,0.7320666666666666,0.7289333333333333,0.7258,0.7226666666666667,0.6855333333333333,0.6484,0.6112666666666666,0.5741333333333334,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.48160000000000003,0.4262,0.3708,0.3154,0.26,0.26
5,oracle,seeded,wormlike micelle,0,,,,,9.193333333333333,8.485416666666667,7.7775,7.069583333333334,6.361666666666667,5.811666666666667,5.261666666666667,4.711666666666667,4.161666666666667,3.611666666666667,3.312266666666667,3.0128666666666666,2.7134666666666667,2.414066666666667,2.114666666666667,1.9916000000000003,1.8685333333333336,1.7454666666666667,1.6224,1.4993333333333334,1.4993333333333334,1.4993333333333334,1.4993333333333334,1.4993333333333334,1.4993333333333334,1.4987333333333335,1.4981333333333333,1.4975333333333334,1.4969333333333332,1.4963333333333333,1.4963333333333333,1.4963333333333333,1.4963333333333333,1.4963333333333333,1.4963333333333333,1.4304666666666666,1.3646,1.2987333333333333,1.2328666666666668,1.167,1.167,1.167,1.167,1.167,1.167,1.0788
6,oracle,seeded,wormlike micelle,1,,,,,3.321,2.9753333333333334,2.6296666666666666,2.284,1.9383333333333332,1.9049333333333334,1.8715333333333333,1.8381333333333334,1.8047333333333333,1.7713333333333334,1.7713333333333334,1.7713333333333334,1.7713333333333334,1.7713333333333334,1.7713333333333334,1.7713333333333334,1.7713333333333334,1.7713333333333334,1.7713333333333334,1.7713333333333334,1.7244000000000002,1.6774666666666669,1.6305333333333336,1.5836000000000001,1.5366666666666668,1.5366666666666668,1.5366666666666668,1.5366666666666668,1.5366666666666668,1.5366666666666668,1.5366666666666668,1.5366666666666668,1.5366666666666668,1.5366666666666668,1.5366666666666668,1.5366666666666668,1.5366666666666668,1.5366666666666668,1.5366666666666668,1.5366666666666668,1.5366666666666668,1.5366666666666668,1.5366666666666668,1.5366666666666668,1.5366666666666668,1.5366666666666668
7,oracle,seeded,wormlike micelle,2,,,,,11.299000000000001,9.787166666666668,8.275333333333334,6.7635,5.251666666666666,4.518199999999999,3.784733333333333,3.051266666666667,2.3178,1.5843333333333334,1.5652666666666668,1.5462,1.5271333333333335,1.5080666666666667,1.489,1.4161333333333335,1.3432666666666666,1.2704,1.1975333333333333,1.1246666666666665,1.1246666666666665,1.1246666666666665,1.1246666666666665,1.1246666666666665,1.1246666666666665,1.1246666666666665,1.1246666666666665,1.1246666666666665,1.1246666666666665,1.1246666666666665,1.1246666666666665,1.1246666666666665,1.1246666666666665,1.1246666666666665,1.1246666666666665,1.1246666666666665,1.1246666666666665,1.1246666666666665,1.1246666666666665,1.1246666666666665,1.032333333333333,0.9399999999999998,0.8476666666666666,0.7553333333333332,0.6629999999999999,0.6629999999999999
8,oracle,seeded,wormlike micelle,3,,,,,10.602666666666666,8.643333333333333,6.683999999999999,4.724666666666666,2.765333333333333,2.283733333333333,1.8021333333333331,1.3205333333333331,0.8389333333333333,0.35733333333333334,0.30933333333333335,0.2613333333333333,0.21333333333333332,0.16533333333333333,0.11733333333333333,0.11153333333333333,0.10573333333333333,0.09993333333333333,0.09413333333333333,0.08833333333333333,0.08833333333333333,0.08833333333333333,0.08833333333333333,0.08833333333333333,0.08833333333333333,0.08833333333333333,0.08833333333333333,0.08833333333333333,0.08833333333333333,0.08833333333333333,0.08833333333333333,0.08833333333333333,0.08833333333333333,0.08833333333333333,0.08833333333333333,0.08833333333333333,0.08833333333333333,0.08833333333333333,0.08833333333333333,0.08833333333333333,0.08833333333333333,0.08833333333333333,0.08833333333333333,0.08833333333333333,0.08833333333333333,0.08833333333333333
9,oracle,seeded,wormlike micelle,4,,,,,9.659333333333334,8.722916666666668,7.7865,6.850083333333334,5.913666666666667,5.008533333333333,4.103400000000001,3.198266666666667,2.2931333333333335,1.388,1.388,1.388,1.388,1.388,1.388,1.3772,1.3663999999999998,1.3556,1.3447999999999998,1.3339999999999999,1.3339999999999999,1.3339999999999999,1.3339999999999999,1.3339999999999999,1.3339999999999999,1.3339999999999999,1.3339999999999999,1.3339999999999999,1.3339999999999999,1.3339999999999999,1.3339999999999999,1.3339999999999999,1.3339999999999999,1.3339999999999999,1.3339999999999999,1.3339999999999999,1.3339999999999999,1.3339999999999999,1.3339999999999999,1.3339999999999999,1.2683333333333333,1.2026666666666666,1.137,1.0713333333333335,1.0056666666666667,1.0056666666666667
