,Sequence,Z0,Z1
0,AAAABBBBBABABBAAAAAA,2.3991299,9.114461
1,AAAABBBBBBBABAAAAAAA,1.899087,9.514321
2,AAABABABABBBBAABAAAA,4.394709,7.3702097
3,AAABABABBBABABAABAAA,5.8314505,7.1284404
4,AAABBAABAAABBBBBAAAA,7.4257975,7.946876
5,AAABBAABBBBAAAABBAAA,6.951054,7.4253616
6,AAABBABABBABBAAABAAA,5.2645864,7.734546
7,AAABBABBAABABABBAAAA,4.8662763,8.902979
8,AAABBABBBAAABBBAAAAA,3.4641204,8.810063
9,AAABBABBBABAABAABAAA,6.0031333,6.8112307
10,AAABBABBBABBAAABAAAA,3.8127687,8.03825
11,AAABBBAABBAABBAABAAA,8.194834,7.925737
12,AAABBBABAABBAAABBAAA,9.613258,9.177191
13,AAABBBABAABBBAABAAAA,4.841181,7.982154
14,AAABBBBABABBAAABAAAA,3.7057233,7.900101
15,AAABBBBABBBAAAABAAAA,2.5174563,8.570356
16,AAABBBBBBBBAAAAAAAAA,1.8825923,9.588849
17,AABAAAAABBBABBBBAAAA,3.2697089,7.949405
18,AABAABAABABBBABABAAA,5.293724,5.6644616
19,AABAABABBAABBBBAAAAA,4.7544355,7.899725
20,AABAABABBBABABBAAAAA,3.4521282,8.768402
21,AABAABBAABBABBAABAAA,6.6571665,6.120966
22,AABAABBABABABABAABAA,8.155484,3.043873
23,AABAABBABABABABABAAA,7.0333776,3.9270933
24,AABABAAAAABBBBBBAAAA,5.545659,6.6959095
25,AABABAAABABBAABBBAAA,6.849284,5.7647934
26,AABABAAABBABBBBAAAAA,5.3337502,7.719736
27,AABABAABBBABBAAABAAA,6.253022,6.6902366
28,AABABABAABBAABABABAA,9.325027,2.0058868
29,AABABABABABABBAAABAA,8.217874,2.9476902
30,AABABABABBABBAAAABAA,5.891626,5.8437076
31,AABABABBAAAABBABBAAA,9.112659,8.591572
32,AABABBAABAABBAABABAA,8.941912,2.4968336
33,AABABBAABABABAABABAA,9.075519,2.2326884
34,AABABBABBAABAABAABAA,7.314991,3.672445
35,AABABBBBAAABBAAABAAA,6.0090346,6.360204
36,AABABBBBAABBAABAAAAA,3.906972,8.349867
37,AABABBBBBAABABAAAAAA,2.654623,8.697391
38,AABBAAABABABABABBAAA,7.2547407,5.483472
39,AABBAAABABBBABAABAAA,6.472937,6.460755
40,AABBAAABBAAABABBABAA,8.070609,5.7191153
41,AABBAAABBABBBBAAAAAA,2.7643466,8.8565235
42,AABBAABBBABABBAAAAAA,2.6751711,9.213396
43,AABBAABBBBAAABAAABAA,5.7071643,5.8139
44,AABBABAAABAAABBBBAAA,7.465142,6.4378343
45,AABBABAAABBBAABBAAAA,8.224322,7.731405
46,AABBABAABAABABBAABAA,8.7292595,2.778834
47,AABBABAABBAAABABABAA,8.778361,2.7654855
48,AABBABABAAAAABBBBAAA,8.286892,8.285145
49,AABBABABBAABABABAAAA,4.830166,8.698182
50,AABBABBAAAABBBAABAAA,8.878878,8.541572
51,AABBABBAABABAAABBAAA,6.863805,5.464077
52,AABBABBABAABABAAABAA,6.6146903,4.5022244
53,AABBABBBBBBAAAAAAAAA,1.7301474,9.611894
54,AABBBAAAAABBABBABAAA,8.610331,8.540599
55,AABBBAAABBABBAABAAAA,6.9657407,7.710693
56,AABBBAABBAAABBAABAAA,6.512702,5.770597
57,AABBBABBAAABABAABAAA,5.8250213,5.1185875
58,AABBBBAAAABAAAABBBAA,6.909805,6.39375
59,AABBBBAAABAAABBAABAA,8.1321335,6.1132393
60,AABBBBAABABBBAAAAAAA,3.1144364,9.117859
61,AABBBBABAAAABBBAAAAA,3.7080944,8.172328
62,AABBBBABAABABAAAABAA,5.3983765,5.846413
63,AABBBBBAAAAABBAABAAA,5.813464,6.542807
64,AABBBBBAAAAABBBAAAAA,3.156537,8.511995
65,AABBBBBAAABAAAABBAAA,6.2439413,6.4636993
66,AABBBBBABAAABAAAABAA,5.222006,6.452574
67,ABAAAAAABBBBBABABAAA,5.387929,6.7997417
68,ABAAAAABBAABBBAABBAA,8.807449,8.54661
69,ABAAAAABBABBBBAAABAA,5.215584,6.2891293
70,ABAAAABABABAABBABBAA,7.373394,4.0111523
71,ABAAAABABBBABBAAABAA,5.5013113,6.1220894
72,ABAAAABBAABABBBBAAAA,6.742334,7.371638
73,ABAAAABBABABABBABAAA,7.202393,6.998159
74,ABAAAABBBABAAABBBAAA,6.6985946,6.5700665
75,ABAAAABBBBABABAAAABA,6.103524,6.2781286
76,ABAAABAABAAABBABBBAA,6.206737,5.978012
77,ABAAABAABBBBBABAAAAA,5.8787713,7.375935
78,ABAAABABBAABBAABBAAA,7.4380608,4.43949
79,ABAAABABBABBABABAAAA,4.674019,6.967098
80,ABAAABBAAABBAABBABAA,8.104217,3.9191337
81,ABAAABBABAABABABABAA,9.267166,2.073721
82,ABAAABBABABBABBAAAAA,3.7751987,8.990296
83,ABAAABBBABBAAABAAABA,6.6295786,6.1889906
84,ABAAABBBABBABAAAAABA,6.1570506,6.761192
85,ABAAABBBBABBABAAAAAA,2.4021688,9.07697
86,ABAAABBBBBBAAAABAAAA,5.154474,6.568376
87,ABAAABBBBBBABAAAAAAA,2.436969,9.171229
88,ABAABAAAAABBABABBBAA,5.415269,5.549265
89,ABAABAAAABAABBBABBAA,5.432376,5.292895
90,ABAABAAABABABBBAAABA,7.558849,3.7130609
91,ABAABAAABABBABABABAA,8.627098,2.7305455
92,ABAABAAABBABABABABAA,9.113495,2.256704
93,ABAABAABABAABABBABAA,9.493267,1.8413308
94,ABAABAABBABAABBAABAA,9.3590975,1.9837443
95,ABAABAABBABABAABAABA,9.580525,1.7479501
96,ABAABABAABBAABBAAABA,9.471777,1.8641735
97,ABAABABABAAABBABBAAA,8.41765,3.0342102
98,ABAABABABBAAABBABAAA,7.4622173,3.8488173
99,ABAABABABBAABABBAAAA,7.1775956,3.9704232
100,ABAABABABBAABBAAAABA,8.438047,2.7878797
101,ABAABABBAABAABABABAA,9.700739,1.6221182
102,ABAABABBABABAAAABBAA,7.488323,3.9798183
103,ABAABABBABBAABAABAAA,6.9314404,4.005323
104,ABAABABBBBABAAAAAABA,6.2830706,6.883361
105,ABAABBAAABABABABAABA,9.737745,1.5838885
106,ABAABBAABAABBAABAABA,9.560238,1.7720789
107,ABAABBAABABBAABAABAA,8.966923,2.3986511
108,ABAABBAABABBBBAAAAAA,3.6669197,9.003828
109,ABAABBAABBABBAAABAAA,6.0935698,5.5242934
110,ABAABBABAABAABABBAAA,8.676298,2.948575
111,ABAABBABABAABAAABBAA,8.611197,2.7754512
112,ABAABBABBAAAAAABBBAA,9.518758,9.095033
113,ABAABBABBBABAAAAAABA,5.6593904,6.8508115
114,ABAABBBABABABAAAABAA,5.2756824,5.4840093
115,ABAABBBBABAAAABAABAA,5.403868,5.564437
116,ABABAAAAAABBBBABAABA,6.192601,6.039056
117,ABABAAAAABAABBBBBAAA,6.5814433,6.744418
118,ABABAAAAABBBBAABBAAA,8.674144,8.49678
119,ABABAAAABBABAABBAABA,8.821039,2.5487003
120,ABABAABAAABABABBAABA,9.511504,1.8216205
121,ABABAABAABABBABBAAAA,6.985623,4.295659
122,ABABAABAABBAABBAAABA,9.490309,1.8465801
123,ABABAABAABBABAABAABA,9.708318,1.6165248
124,ABABAABABAABABABABAA,9.794835,1.525426
125,ABABAABABABAABABAABA,9.83514,1.4839834
126,ABABAABABABBAAABAABA,9.533281,1.7979447
127,ABABAABBAABAABABAABA,9.773457,1.5466214
128,ABABAABBBBABABAAAAAA,3.428744,9.058582
129,ABABABAAAABBABABABAA,8.351023,2.9311287
130,ABABABAABABAABAABABA,9.795727,1.5237744
131,ABABABAABABABAAABABA,9.806866,1.5118523
132,ABABABAABABABAABABAA,9.772757,1.547516
133,ABABABABAAABBAAABBAA,8.377858,3.475586
134,ABABABABABAAAABABBAA,8.440919,2.8581066
135,ABABABABABAABABAABAA,9.72633,1.593402
136,ABABABABBAAABAAABBAA,7.694969,3.7118597
137,ABABABABBABABAAAABAA,7.0980263,3.8820555
138,ABABABABBBAABAAABAAA,5.8184085,4.793291
139,ABABABABBBABABAAAAAA,3.7036579,8.973705
140,ABABABABBBBBAAAAAAAA,2.0286014,9.536886
141,ABABABBAAAAABABBBAAA,9.672119,9.236341
142,ABABABBAABABAAAABABA,8.8701725,2.487721
143,ABABABBAABABBABAAAAA,4.8153324,8.762785
144,ABABABBAABBABBAAAAAA,3.8187675,8.986751
145,ABABABBABAAAABABAABA,8.867573,2.4770708
146,ABABABBABBAAAAABABAA,5.9869537,5.322316
147,ABABABBBABAAABBAAAAA,3.7672565,8.990683
148,ABABBAAAAABBAABBABAA,9.502972,9.066191
149,ABABBAAAABAABBAABBAA,7.4217615,5.188595
150,ABABBAAAABABBBAAABAA,7.0749993,6.462612
151,ABABBAAABAABBABAABAA,8.573329,2.920794
152,ABABBAAABABABAABAABA,9.76511,1.5558859
153,ABABBAAABABBAAAABABA,8.410285,3.0835092
154,ABABBAAABBABBAAAABAA,6.630243,5.482214
155,ABABBAAABBBAABABAAAA,6.469427,5.036578
156,ABABBAABAAABABABABAA,9.123338,2.2437549
157,ABABBAABAAABBBAABAAA,6.5956416,5.2649593
158,ABABBAABAABAABABAABA,9.734209,1.5882055
159,ABABBAABBABAAABAABAA,8.134483,3.0824196
160,ABABBABAAABBAABBAAAA,5.019783,8.783286
161,ABABBABAABAAABBAABAA,8.030053,3.4296584
162,ABABBABAABAABAABABAA,8.780926,2.539503
163,ABABBABAABAABABAAABA,9.290159,2.0206375
164,ABABBABAABBAAABAAABA,7.538087,3.6649032
165,ABABBABAABBBAAABAAAA,4.604623,8.614421
166,ABABBABABAAAABABABAA,7.489288,3.8737497
167,ABABBABABAABAAABAABA,8.593867,2.7097983
168,ABABBABABABAABAABAAA,7.1394753,3.8061805
169,ABABBABBAABAABABAAAA,5.835901,4.7596817
170,ABABBABBBAAABAAABAAA,4.7322063,6.171699
171,ABABBABBBABBAAAAAAAA,3.0543954,9.122727
172,ABABBBAAAAAAABBBABAA,7.101637,7.901689
173,ABABBBAAAAAABBBBAAAA,6.173397,7.3330894
174,ABABBBAAABAAABBABAAA,5.95297,5.6114845
175,ABABBBAAABABAABAAABA,7.5245686,3.658203
176,ABABBBAAABBAAABBAAAA,7.586199,7.894643
177,ABABBBAABAAAABBBAAAA,7.608387,7.953634
178,ABABBBAABAAABAABAABA,8.413397,2.7553558
179,ABABBBAABAABAABAAABA,8.327915,2.8742614
180,ABABBBABAAAAABABAABA,5.5877824,5.1665263
181,ABABBBABAABABBAAAAAA,3.5169775,9.016913
182,ABABBBBABAAAAAABAABA,5.9439096,6.719071
183,ABABBBBABBAAABAAAAAA,2.4062302,9.171173
184,ABABBBBBAABAABAAAAAA,2.424976,8.723552
185,ABABBBBBABAAAAAAABAA,3.2806697,8.600485
186,ABBAAAAAAABBABBBABAA,4.915808,7.825778
187,ABBAAAAAABBABBBBAAAA,5.0555196,7.8672748
188,ABBAAAAABAAAABBBBABA,5.888132,6.6370287
189,ABBAAAABAAAABABBBABA,5.623984,5.8778086
190,ABBAAAABAABABABBAABA,8.287418,3.060839
191,ABBAAAABABAABABBABAA,7.7925596,4.143023
192,ABBAAAABABBBABABAAAA,4.3627634,8.313863
193,ABBAAAABBABABBAAABAA,7.6491876,7.1579404
194,ABBAAABAAABAAABBBABA,7.0736556,5.1233597
195,ABBAAABAABABABABABAA,9.136657,2.2237895
196,ABBAAABAABBBBBAAAAAA,3.2730653,8.785641
197,ABBAAABABABABAAAABBA,8.525132,3.1429985
198,ABBAAABBABBAABAAAABA,6.4664946,5.2886825
199,ABBAAABBBAAAABBBAAAA,9.060344,8.8578005
200,ABBAAABBBAAABAAABBAA,8.020074,5.6112313
201,ABBAAABBBABAAAAAABBA,7.6574,7.83354
202,ABBAABAAAAABABBBAABA,6.1057215,5.2198358
203,ABBAABAAABABAAABBABA,8.58277,2.9219897
204,ABBAABAAABABABBAABAA,8.627351,2.892721
205,ABBAABAABAAABABABABA,9.439392,1.8881326
206,ABBAABAABAABABABABAA,9.693111,1.6300486
207,ABBAABAABABAABBAAABA,9.5230255,1.8122962
208,ABBAABAABBAAAABBAABA,8.420076,5.1295986
209,ABBAABABAAABABABABAA,9.563184,1.7672372
210,ABBAABABAABAAABBAABA,9.4535265,1.8872689
211,ABBAABABAABABAAAABBA,8.822718,2.5765295
212,ABBAABABAABBBBAAAAAA,3.6773524,8.956138
213,ABBAABABABABABAAABAA,8.763959,2.6164322
214,ABBAABABABBABABAAAAA,4.5641923,8.741166
215,ABBAABABBAAAAAABBBAA,9.469554,9.049982
216,ABBAABBAAABABABAAABA,9.126573,2.2413142
217,ABBAABBAABAABAAAABBA,7.9913864,3.2374368
218,ABBAABBAABAABAABAABA,9.542313,1.7951963
219,ABBAABBABABBAAAABAAA,4.6768684,8.178498
220,ABBABAAAAABBAABBABAA,9.308497,8.896254
221,ABBABAAAABAABBAABABA,8.345618,2.9361432
222,ABBABAAAABBABBABAAAA,4.242861,8.875745
223,ABBABAAAABBBAAABAABA,7.8251686,5.4226084
224,ABBABAAABAABABBAABAA,8.562844,2.9169033
225,ABBABAAABAABBAAABBAA,8.4160595,5.3543844
226,ABBABAAABBAABABAABAA,8.441197,3.1927066
227,ABBABAABAAAAABBBBAAA,7.768904,7.868394
228,ABBABAABAAABBBAAAABA,7.471437,5.997844
229,ABBABAABABAABABAABAA,9.2352085,2.1143188
230,ABBABAABABABAAABAABA,9.406789,1.9251475
231,ABBABAABABBAAABAABAA,8.118044,3.001327
232,ABBABAABABBAABBAAAAA,4.676371,8.918766
233,ABBABAABBBAABAAAAABA,6.117869,5.3418956
234,ABBABAABBBBAABAAAAAA,3.4626496,8.992225
235,ABBABABAAAAABABBABAA,8.7436075,8.457719
236,ABBABABAAAAABBBABAAA,7.710714,7.8831725
237,ABBABABAABABABAAAABA,8.489045,2.863783
238,ABBABABABAAABAABABAA,8.362834,2.9500287
239,ABBABABABAABAABAAABA,8.728376,2.5204158
240,ABBABABABBAAABAAAABA,5.8316483,4.7818356
241,ABBABABABBAAABAABAAA,5.7070565,4.8624525
242,ABBABABBAAABABAABAAA,5.974962,4.7913203
243,ABBABABBABBAAAAAABAA,4.400595,8.684027
244,ABBABBAABAAABAAABBAA,7.1358027,5.8974514
245,ABBABBAABAAABAABAABA,8.3579235,2.9100928
246,ABBABBABBABAAAAABAAA,2.877105,8.48951
247,ABBABBBAAAAAABBBAAAA,3.9385855,7.966539
248,ABBABBBAABABAABAAAAA,2.526785,8.894294
249,ABBABBBABAABABAAAAAA,2.4151351,8.776689
250,ABBABBBBAAABAAAABAAA,4.135541,6.5131493
251,ABBBAAAAABBAABBAAABA,8.997651,8.683989
252,ABBBAAAABAAABABAABBA,7.3444653,5.741927
253,ABBBAAAABAABABBBAAAA,8.017184,8.174123
254,ABBBAAABABAABBBAAAAA,4.464371,8.74479
255,ABBBAAABBAAABAABAABA,8.350922,5.476256
256,ABBBAAABBAABAAABABAA,7.3887353,4.1110754
257,ABBBAAABBAABAABBAAAA,8.378387,8.017835
258,ABBBAABAAABBAABAAABA,7.610346,5.50821
259,ABBBAABAAABBAABAABAA,7.5650554,3.748328
260,ABBBAABABAAAABAABABA,7.2957187,3.910903
261,ABBBAABABABAAABAABAA,7.2692266,3.9700894
262,ABBBAABBAABBABAAAAAA,3.4515533,8.912467
263,ABBBABAAAABBBAAABAAA,6.2992964,6.828544
264,ABBBABAAAABBBABAAAAA,2.6014583,9.14627
265,ABBBABAABAAABBAABAAA,5.5095468,5.72791
266,ABBBABABAAAABAABABAA,5.259183,5.3960977
267,ABBBABABAAABABABAAAA,4.7138352,8.288801
268,ABBBABABAABBAAAAABAA,5.1723166,6.54784
269,ABBBABABABAAABABAAAA,4.58666,7.2073913
270,ABBBABBAAAAAABBBAAAA,3.9068363,8.127736
271,ABBBABBAAABABAAAAABA,5.535674,6.028484
272,ABBBABBBAAABAAABAAAA,4.4955416,6.7631555
273,ABBBBAAAAAAAABBBABAA,4.0966716,8.082357
274,ABBBBAAAAAABBBBAAAAA,3.0403764,8.697333
275,ABBBBAABAAABAABABAAA,5.56044,5.828898
276,ABBBBAABAAABAABBAAAA,6.2312326,6.705763
277,ABBBBAABAABAAAAABABA,5.4850354,5.778518
278,ABBBBAABAABAABAAAABA,5.2992864,5.436152
279,ABBBBAABAABABAAABAAA,5.146801,5.4566636
280,ABBBBAABAABBAABAAAAA,3.8526483,8.392242
281,ABBBBAABABAABAAABAAA,4.8080854,5.9082384
282,ABBBBAABBABAAAAAABAA,4.399636,7.2926607
283,ABBBBABAABAABAAAAABA,4.9990473,5.894575
284,ABBBBABABAAAABBAAAAA,3.8802552,7.852021
285,ABBBBABBAAAAAAAABABA,3.712428,7.8238854
286,ABBBBABBAABAAAAAABAA,2.9976387,7.8381715
287,ABBBBBAAAABAAABABAAA,5.702001,6.424061
288,ABBBBBAAABAAABAABAAA,4.6883945,6.0221534
289,ABBBBBAABAAAAAAAABBA,3.553692,8.025803
290,ABBBBBABAAAAAABAAABA,4.4784408,6.3802953
291,ABBBBBABAAAAABAAAABA,4.2838163,6.222819
292,ABBBBBBAAAABBAAAAAAA,2.001318,9.54139
293,ABBBBBBABBAAAAAAAAAA,1.8799917,9.624464
294,ABBBBBBBAABAAAAAAAAA,1.8365083,9.626032
295,BAAAAAAAAAABBBBBBABA,2.5829308,9.239525
296,BAAAAAAAAABBAABBBBBA,2.5916529,8.870055
297,BAAAAAAAABBABBBBAABA,3.9655466,8.08737
298,BAAAAAAABAAABBBABBBA,3.7408195,8.571531
299,BAAAAAABABAAAABBBBBA,6.231888,7.296769
300,BAAAAAABABBABABABBAA,4.8535604,8.784825
