,Experiment,Seed Type,Morphology,Replica,kltd after 1 Labels,kltd after 2 Labels,kltd after 3 Labels,kltd after 4 Labels,kltd after 5 Labels,kltd after 6 Labels,kltd after 7 Labels,kltd after 8 Labels,kltd after 9 Labels,kltd after 10 Labels,kltd after 11 Labels,kltd after 12 Labels,kltd after 13 Labels,kltd after 14 Labels,kltd after 15 Labels,kltd after 16 Labels,kltd after 17 Labels,kltd after 18 Labels,kltd after 19 Labels,kltd after 20 Labels,kltd after 21 Labels,kltd after 22 Labels,kltd after 23 Labels,kltd after 24 Labels,kltd after 25 Labels,kltd after 26 Labels,kltd after 27 Labels,kltd after 28 Labels,kltd after 29 Labels,kltd after 30 Labels,kltd after 31 Labels,kltd after 32 Labels,kltd after 33 Labels,kltd after 34 Labels,kltd after 35 Labels,kltd after 36 Labels,kltd after 37 Labels,kltd after 38 Labels,kltd after 39 Labels,kltd after 40 Labels,kltd after 41 Labels,kltd after 42 Labels,kltd after 43 Labels,kltd after 44 Labels,kltd after 45 Labels,kltd after 46 Labels,kltd after 47 Labels,kltd after 48 Labels,kltd after 49 Labels,kltd after 50 Labels
0,oracle,seeded,liquid,0,,,,,1.0,1.5,2.0,2.5,3.0,3.4,3.8,4.2,4.6,5.0,5.4,5.8,6.2,6.6,7.0,7.4,7.8,8.2,8.6,9.0,9.6,10.2,10.8,11.4,12.0,12.2,12.4,12.6,12.8,13.0,13.0,13.0,13.0,13.0,13.0,13.2,13.4,13.6,13.8,14.0,14.2,14.4,14.6,14.8,15.0,
1,oracle,seeded,liquid,1,,,,,1.0,1.5,2.0,2.5,3.0,3.4,3.8,4.2,4.6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.2,5.4,5.6,5.8,6.0,6.6,7.2,7.8,8.4,9.0,9.6,10.2,10.8,11.4,12.0,12.4,12.8,13.2,13.6,14.0,14.2,14.4,14.6,14.8,15.0,
2,oracle,seeded,liquid,2,,,,,1.0,1.5,2.0,2.5,3.0,3.6,4.2,4.8,5.4,6.0,6.4,6.8,7.2,7.6,8.0,8.4,8.8,9.2,9.6,10.0,10.6,11.2,11.8,12.4,13.0,13.2,13.4,13.6,13.8,14.0,14.0,14.0,14.0,14.0,14.0,14.6,15.2,15.8,16.4,17.0,17.4,17.8,18.2,18.6,19.0,
3,oracle,seeded,liquid,3,,,,,1.0,1.5,2.0,2.5,3.0,3.2,3.4,3.6,3.8,4.0,4.4,4.8,5.2,5.6,6.0,6.2,6.4,6.6,6.8,7.0,7.4,7.8,8.2,8.6,9.0,9.6,10.2,10.8,11.4,12.0,12.2,12.4,12.6,12.8,13.0,13.4,13.8,14.2,14.6,15.0,15.6,16.2,16.8,17.4,18.0,
4,oracle,seeded,liquid,4,,,,,1.0,1.5,2.0,2.5,3.0,3.4,3.8,4.2,4.6,5.0,5.2,5.4,5.6,5.8,6.0,6.0,6.0,6.0,6.0,6.0,6.8,7.6,8.4,9.2,10.0,10.2,10.4,10.6,10.8,11.0,11.8,12.6,13.4,14.2,15.0,15.2,15.4,15.6,15.8,16.0,16.4,16.8,17.2,17.6,18.0,
5,oracle,seeded,string,0,,,,,1.0,1.0,1.0,1.0,1.0,1.2,1.4,1.6,1.8,2.0,2.0,2.0,2.0,2.0,2.0,2.4,2.8,3.2,3.6,4.0,4.2,4.4,4.6,4.8,5.0,5.4,5.8,6.2,6.6,7.0,7.0,7.0,7.0,7.0,7.0,7.2,7.4,7.6,7.8,8.0,8.4,8.8,9.2,9.6,10.0,
6,oracle,seeded,string,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.4,1.6,1.8,2.0,2.2,2.4,2.6,2.8,3.0,3.2,3.4,3.6,3.8,4.0,4.4,4.8,5.2,5.6,6.0,6.2,6.4,6.6,6.8,7.0,7.4,7.8,8.2,8.6,9.0,9.2,9.4,9.6,9.8,10.0,
7,oracle,seeded,string,2,,,,,1.0,1.0,1.0,1.0,1.0,1.2,1.4,1.6,1.8,2.0,2.0,2.0,2.0,2.0,2.0,2.2,2.4,2.6,2.8,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.8,4.6,5.4,6.2,7.0,7.6,8.2,8.8,9.4,10.0,
8,oracle,seeded,string,3,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,1.8,2.2,2.6,3.0,3.4,3.8,4.2,4.6,5.0,5.2,5.4,5.6,5.8,6.0,6.4,6.8,7.2,7.6,8.0,8.0,8.0,8.0,8.0,8.0,8.6,9.2,9.8,10.4,11.0,11.2,11.4,11.6,11.8,12.0,
9,oracle,seeded,string,4,,,,,1.0,1.0,1.0,1.0,1.0,1.2,1.4,1.6,1.8,2.0,2.0,2.0,2.0,2.0,2.0,2.4,2.8,3.2,3.6,4.0,4.2,4.4,4.6,4.8,5.0,5.4,5.8,6.2,6.6,7.0,7.2,7.4,7.6,7.8,8.0,8.4,8.8,9.2,9.6,10.0,10.4,10.8,11.2,11.6,12.0,
