,Experiment,Seed Type,Morphology,Replica,topkd after 1 Labels,topkd after 2 Labels,topkd after 3 Labels,topkd after 4 Labels,topkd after 5 Labels,topkd after 6 Labels,topkd after 7 Labels,topkd after 8 Labels,topkd after 9 Labels,topkd after 10 Labels,topkd after 11 Labels,topkd after 12 Labels,topkd after 13 Labels,topkd after 14 Labels,topkd after 15 Labels,topkd after 16 Labels,topkd after 17 Labels,topkd after 18 Labels,topkd after 19 Labels,topkd after 20 Labels,topkd after 21 Labels,topkd after 22 Labels,topkd after 23 Labels,topkd after 24 Labels,topkd after 25 Labels,topkd after 26 Labels,topkd after 27 Labels,topkd after 28 Labels,topkd after 29 Labels,topkd after 30 Labels,topkd after 31 Labels,topkd after 32 Labels,topkd after 33 Labels,topkd after 34 Labels,topkd after 35 Labels,topkd after 36 Labels,topkd after 37 Labels,topkd after 38 Labels,topkd after 39 Labels,topkd after 40 Labels,topkd after 41 Labels,topkd after 42 Labels,topkd after 43 Labels,topkd after 44 Labels,topkd after 45 Labels,topkd after 46 Labels,topkd after 47 Labels,topkd after 48 Labels,topkd after 49 Labels,topkd after 50 Labels
0,oracle,seeded,liquid,0,,,,,8.179666666666668,6.459833333333334,4.74,3.0201666666666673,1.3003333333333333,1.1860666666666666,1.0718,0.9575333333333333,0.8432666666666667,0.7290000000000001,0.6880666666666667,0.6471333333333333,0.6062000000000001,0.5652666666666667,0.5243333333333333,0.5243333333333333,0.5243333333333333,0.5243333333333333,0.5243333333333333,0.5243333333333333,0.5243333333333333,0.5243333333333333,0.5243333333333333,0.5243333333333333,0.5243333333333333,0.5243333333333333,0.5243333333333333,0.5243333333333333,0.5243333333333333,0.5243333333333333,0.5243333333333333,0.5243333333333333,0.5243333333333333,0.5243333333333333,0.5243333333333333,0.5243333333333333,0.5243333333333333,0.5243333333333333,0.5243333333333333,0.5243333333333333,0.5190666666666667,0.5138,0.5085333333333333,0.5032666666666666,0.498,
1,oracle,seeded,liquid,1,,,,,8.17,6.452583333333333,4.735166666666666,3.0177500000000004,1.3003333333333333,1.1860666666666666,1.0718,0.9575333333333333,0.8432666666666667,0.7290000000000001,0.7290000000000001,0.7290000000000001,0.7290000000000001,0.7290000000000001,0.7290000000000001,0.7290000000000001,0.7290000000000001,0.7290000000000001,0.7290000000000001,0.7290000000000001,0.7290000000000001,0.7290000000000001,0.7290000000000001,0.7290000000000001,0.7290000000000001,0.7103333333333334,0.6916666666666668,0.673,0.6543333333333334,0.6356666666666667,0.6184666666666667,0.6012666666666667,0.5840666666666666,0.5668666666666666,0.5496666666666666,0.5496666666666666,0.5496666666666666,0.5496666666666666,0.5496666666666666,0.5496666666666666,0.5496666666666666,0.5496666666666666,0.5496666666666666,0.5496666666666666,0.5496666666666666,
2,oracle,seeded,liquid,2,,,,,12.412,9.622,6.832000000000001,4.042,1.252,1.1174666666666666,0.9829333333333333,0.8484,0.7138666666666666,0.5793333333333334,0.5356000000000001,0.4918666666666667,0.4481333333333334,0.40440000000000004,0.3606666666666667,0.3426666666666667,0.32466666666666666,0.30666666666666664,0.2886666666666667,0.27066666666666667,0.2694,0.26813333333333333,0.26686666666666664,0.2656,0.2643333333333333,0.2643333333333333,0.2643333333333333,0.2643333333333333,0.2643333333333333,0.2643333333333333,0.2643333333333333,0.2643333333333333,0.2643333333333333,0.2643333333333333,0.2643333333333333,0.2643333333333333,0.2643333333333333,0.2643333333333333,0.2643333333333333,0.2643333333333333,0.26266666666666666,0.261,0.2593333333333333,0.25766666666666665,0.256,
3,oracle,seeded,liquid,3,,,,,9.613333333333333,7.523,5.432666666666667,3.3423333333333343,1.252,1.1834666666666667,1.1149333333333333,1.0464,0.9778666666666666,0.9093333333333332,0.8597333333333332,0.8101333333333333,0.7605333333333333,0.7109333333333333,0.6613333333333333,0.6613333333333333,0.6613333333333333,0.6613333333333333,0.6613333333333333,0.6613333333333333,0.6248,0.5882666666666666,0.5517333333333333,0.5152,0.47866666666666663,0.44526666666666664,0.41186666666666666,0.3784666666666667,0.3450666666666667,0.3116666666666667,0.30340000000000006,0.29513333333333336,0.2868666666666667,0.2786,0.27033333333333337,0.26633333333333337,0.26233333333333336,0.25833333333333336,0.25433333333333336,0.25033333333333335,0.25033333333333335,0.25033333333333335,0.25033333333333335,0.25033333333333335,0.25033333333333335,
4,oracle,seeded,liquid,4,,,,,14.783,11.40025,8.0175,4.63475,1.252,1.1302,1.0084,0.8866,0.7648,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.5992,0.5554,0.5116,0.4678,0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.424,
5,oracle,seeded,string,0,,,,,10.57,8.516583333333333,6.463166666666667,4.409750000000001,2.356333333333333,2.0624666666666664,1.7686,1.4747333333333335,1.1808666666666667,0.887,0.887,0.887,0.887,0.887,0.887,0.7764,0.6658000000000001,0.5552,0.44460000000000005,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,
6,oracle,seeded,string,1,,,,,6.228333333333334,5.260333333333334,4.292333333333334,3.3243333333333336,2.356333333333333,2.284533333333333,2.212733333333333,2.140933333333333,2.069133333333333,1.997333333333333,1.807133333333333,1.6169333333333331,1.4267333333333332,1.2365333333333333,1.0463333333333333,0.8947333333333334,0.7431333333333333,0.5915333333333332,0.4399333333333333,0.28833333333333333,0.26826666666666665,0.2482,0.22813333333333335,0.20806666666666668,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,
7,oracle,seeded,string,2,,,,,3.9919999999999995,3.4599166666666665,2.927833333333333,2.3957499999999996,1.8636666666666664,1.7200666666666664,1.5764666666666667,1.4328666666666667,1.2892666666666668,1.1456666666666668,1.1456666666666668,1.1456666666666668,1.1456666666666668,1.1456666666666668,1.1456666666666668,0.9961333333333334,0.8466,0.6970666666666667,0.5475333333333333,0.39799999999999996,0.39799999999999996,0.39799999999999996,0.39799999999999996,0.39799999999999996,0.39799999999999996,0.39799999999999996,0.39799999999999996,0.39799999999999996,0.39799999999999996,0.39799999999999996,0.39799999999999996,0.39799999999999996,0.39799999999999996,0.39799999999999996,0.39799999999999996,0.36479999999999996,0.3316,0.2984,0.2652,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,
8,oracle,seeded,string,3,,,,,6.238666666666667,5.268083333333333,4.2975,3.3269166666666665,2.356333333333333,2.356333333333333,2.356333333333333,2.356333333333333,2.356333333333333,2.356333333333333,1.9518666666666666,1.5473999999999999,1.1429333333333331,0.7384666666666666,0.334,0.3194,0.3048,0.2902,0.2756,0.261,0.2464,0.2318,0.2172,0.20260000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.1826,0.17720000000000002,0.1718,0.16640000000000002,0.161,0.161,0.161,0.161,0.161,0.161,
9,oracle,seeded,string,4,,,,,5.831333333333333,4.962583333333333,4.093833333333333,3.225083333333333,2.356333333333333,2.123533333333333,1.8907333333333332,1.6579333333333333,1.4251333333333331,1.1923333333333332,1.1312666666666666,1.0702,1.0091333333333332,0.9480666666666666,0.887,0.7964666666666667,0.7059333333333333,0.6154,0.5248666666666666,0.4343333333333333,0.4235333333333333,0.41273333333333334,0.40193333333333336,0.39113333333333333,0.38033333333333336,0.37420000000000003,0.36806666666666665,0.36193333333333333,0.35579999999999995,0.3496666666666666,0.3496666666666666,0.3496666666666666,0.3496666666666666,0.3496666666666666,0.3496666666666666,0.3485333333333333,0.3474,0.34626666666666667,0.34513333333333335,0.34400000000000003,0.34400000000000003,0.34400000000000003,0.34400000000000003,0.34400000000000003,0.34400000000000003,
