,Sequence,Iteration,Z0,Z1
0,AABAAABBAAABABBAAABB,1.0,2.568,7.538
1,AABABAAAABAAABABBABB,1.0,4.628,6.189
2,AAAABABBABBAABBAAABA,1.0,3.285,2.398
3,ABABAAAABAABABBAAABB,1.0,7.369,4.463
4,BAAAAABBABBAAAABAABB,1.0,11.497,-1.014
5,BBABAAAABAABBAABAAAB,2.0,9.68,3.073
6,BBABAAAABAABAAABBAAB,2.0,10.481,2.33
7,BBABAAAABAABAAABABAB,2.0,11.225,1.24
8,BBABABAABAABAAABAAAB,2.0,12.288,1.975
9,BBABAAAABAABAAABAABB,2.0,13.029,1.315
10,AABAAABBAABABBAAAABB,3.0,4.966,5.217
11,AABAAABBAABAABAAABBB,3.0,7.236,8.02
12,AABAAABBAABAABAABBBA,3.0,8.075,6.974
13,AABAAABBAABABBAAABBA,3.0,8.858,5.854
14,AABAAABBBABAABAAABBA,3.0,9.409,5.877
15,AABAAAABABBABBAAABBA,4.0,8.665,2.442
16,AABAAABAABBABBAAABBA,4.0,11.8,3.733
17,AABAABAAABBABBAAABBA,4.0,12.814,4.218
18,AABAAAAAABBABBABABBA,4.0,8.939,-1.311
19,AABAAAAAABBABBAAABBB,4.0,7.419,-2.569
20,BAAAAABBAAAAABBAABBB,5.0,3.965,1.714
21,BAAAAABBAAAABABAABBB,5.0,4.794,1.829
22,BAAAAABBAAAAAABBABBB,5.0,3.071,0.092
23,BBAAAABBAAAAAABAABBB,5.0,4.564,0.232
24,BAAAAABBAAABAABAABBB,5.0,8.199,1.624
25,AABAABBBAAAAABBAAABB,6.0,-2.103,7.405
26,ABBAAABBAAAAABBAAABB,6.0,-0.11,5.311
27,AABAAABBAABAAABBAABB,6.0,5.829,7.793
28,AABAAABBAABAABBAAABB,6.0,6.287,7.746
29,AABAAABBAABAABABAABB,6.0,7.365,6.478
30,AABAABBBAABAAABAAABB,7.0,5.206,9.081
31,ABBAABBBAAAAAABAAABB,7.0,-0.925,3.022
32,AABAAABBBABAAABAAABB,7.0,6.852,6.77
33,ABBAAABBAAAAAABBAABB,7.0,-2.186,3.395
34,ABBAAABBAABAAABAAABB,7.0,9.742,5.835
35,AABBAABBAABAAABAAABB,8.0,4.937,9.08
36,AABAAABBAABAAABABABB,8.0,6.299,7.052
37,AABAAABBAABABABAAABB,8.0,6.957,5.869
38,AABAAABBAABBAABAAABB,8.0,7.887,5.374
39,AAAAAABBAABBAABBAABB,8.0,0.745,-1.487
40,AABABABBAABAAABAAABB,9.0,4.739,8.517
41,ABBBAABBAAAAAABAAABB,9.0,-0.021,2.365
42,ABBABABBAAAAAABAAABB,9.0,-0.766,2.423
43,ABAAAABBAABAABBAAABB,9.0,7.135,5.903
44,ABBAAABBAABAABBAAAAB,9.0,11.587,5.173
45,AAABAABBAABAAABBAABB,10.0,2.008,5.796
46,AAABAABBAABAABBAAABB,10.0,2.497,5.618
47,AABBAABBAABAAABBAAAB,10.0,4.904,8.606
48,ABABAABBAABAAABAAABB,10.0,10.852,6.131
49,ABBBAABBAABAAABAAAAB,10.0,14.567,2.801
