,Sequence,Iteration,Z0,Z1
0,AABAAABBAAABABBAAABB,1.0,2.568,7.538
1,AABABAAAABAAABABBABB,1.0,4.628,6.189
2,AAAABABBABBAABBAAABA,1.0,3.285,2.398
3,ABABAAAABAABABBAAABB,1.0,7.369,4.463
4,BAAAAABBABBAAAABAABB,1.0,11.497,-1.014
5,ABBBBAAAABAAABABBABB,2.0,6.49,2.541
6,AABAAABBABAAABBAAABB,3.0,2.085,8.48
7,AABABAAAAAABABABBABB,3.0,2.118,0.655
8,AABABAAAABBBABABBABB,3.0,8.26,1.782
9,AABAAABBBBAAABBAAABA,4.0,7.492,7.173
10,BABAAAABAAABABBBAABB,4.0,8.673,-0.067
11,AABABAABBAAAABABBABB,5.0,0.059,6.953
12,AABABAAAABAAABABAABB,6.0,4.628,7.112
13,AABAAABBABAAABBAABBB,7.0,2.263,6.99
14,AABABAABABABABBAAABB,8.0,11.627,5.401
15,AABAAAAAABAAABBAAABB,8.0,6.973,-2.076
16,BABAAABBABAAABBAAABB,9.0,8.764,2.525
17,AABAAAABAAAAABBAAABB,10.0,5.113,2.439
18,AABAAAABABAAABBAABBB,11.0,4.275,4.455
19,AABAAABBABAAABBBAABB,12.0,1.907,6.768
20,AABAABBBABAAABBABABB,12.0,3.331,6.066
21,AAAABABBBBAAABBAABBB,13.0,-3.298,1.21
22,AAABAABBABAAABAAAABB,14.0,1.962,6.43
23,AABAAABBABAAABBABBBB,14.0,3.034,5.88
24,AABBAABBABAAABBAAABB,15.0,1.667,7.546
25,AABAABBBABAAABBAAABB,16.0,1.618,7.602
26,AAAAAABBABAAABAAAABB,17.0,0.059,-0.807
27,AABAAABBABAAAABAAABB,18.0,4.053,8.354
28,AAABAABBABAAABBAAABB,19.0,-1.834,5.472
29,AABAAABBBBAAABBAABBB,20.0,2.764,5.71
30,ABBAAABBABAAABBAAABB,20.0,5.904,6.695
31,BABAAABBABBAABBAABBB,20.0,16.065,1.436
32,AABAAABBABAAABBAAAAB,21.0,3.596,8.577
33,AABAAAABABAAABBAAAAB,21.0,6.97,5.201
34,AABAAABBABAAABAAAABB,22.0,4.913,8.854
35,AABAAABBABAAABBBBABB,23.0,3.104,5.797
36,AABAAAABABAABBAAAABB,24.0,5.991,4.277
37,ABBBAABBABAAABBAAABB,24.0,9.803,4.35
38,ABBAAABBABABABAAAABB,25.0,11.31,3.63
39,AAAABAABABAAABAAAABB,26.0,2.414,3.137
40,BABAAABBBBAAABBAAABB,26.0,10.757,1.401
41,ABBAAABBABABABBAAABB,26.0,14.391,3.584
42,AABABABBABAAABBAAABB,27.0,1.897,6.988
43,AAABBABABBABBBBAAABB,28.0,4.413,3.381
44,AABAAABBABAAABBABABB,29.0,2.118,6.266
45,AAAAAABBABAAABBAAABB,29.0,-1.985,-0.92
46,AABAAABBABABABBAAABB,30.0,5.575,4.693
47,AABAAAABABAAABBAABBA,31.0,5.75,5.766
48,ABBABABBABAAABBAAABB,31.0,10.578,4.127
49,AABAAABBABAABBBAAABB,32.0,4.057,6.256
50,AABAAABBAAAAABBAAABB,33.0,1.49,8.088
51,AAAAAABBABAABBBAAABB,34.0,-1.537,-1.279
52,BABABBBBABABABBAAABB,34.0,15.512,1.165
53,AAAABABBAAAAABBAAAAB,35.0,-2.677,3.873
54,AABBAABBAAAAABBAAAAB,36.0,-1.383,7.158
55,AABAABBBAAAAABBAAABB,36.0,-2.103,7.405
56,AABAAABBABAAAAAAAABB,37.0,5.563,-0.996
57,ABBABABAABAAABBAAABB,38.0,8.213,5.566
58,AABAAABAABAAABBAAABB,39.0,7.143,7.243
59,AABABABBABBABBBBAAAB,39.0,14.149,3.594
60,AABAAABBABABBABAAAAB,40.0,7.435,3.85
61,AABAAAABABAAAABAAABB,41.0,7.288,4.234
62,AABBBABBBBAAABBAAABB,42.0,5.25,5.472
63,ABBAAAABABAAABBAAABB,43.0,5.181,6.328
