,Sequence,Iteration,Z0,Z1
0,AABAAABBAAABABBAAABB,0.0,2.568,7.538
1,AABABAAAABAAABABBABB,0.0,4.628,6.189
2,AAAABABBABBAABBAAABA,0.0,3.285,2.398
3,ABABAAAABAABABBAAABB,0.0,7.369,4.463
4,BAAAAABBABBAAAABAABB,0.0,11.497,-1.014
5,AABAABBAAAAABABBAAAB,1.0,-0.862,7.47
6,AABAAABBAAAAABBAAABB,1.0,1.49,8.088
7,AAABAABBAAABABBAAABB,1.0,-1.213,5.338
8,AABABAABAAAAABBBAABA,1.0,2.301,8.17
9,BAABAAABBAAAAABBAAAA,1.0,1.435,2.52
10,AABAAABBAAAAAABBABBB,2.0,0.475,6.106
11,AABAAABBAAAAABBAABBA,2.0,1.077,8.352
12,AABABAABAAAAABBAABBB,2.0,-0.65,7.094
13,AABAABBBAAAAAABBAAAB,2.0,-2.169,6.521
14,BAABAAABBAAAAAABBBAA,2.0,3.142,3.411
15,AABAAABBAAAAABBAAABA,3.0,4.589,8.388
16,AABAAABBAAAABABAABBA,3.0,2.929,8.837
17,AABAABBBAAAAABBAABBA,3.0,-2.365,7.585
18,AABAAABBAAAAABBABBAA,3.0,1.597,8.66
19,ABAAABBBAAAAABBAABBA,3.0,0.382,7.381
20,AABAAABBAAAAABBABBAB,4.0,0.812,7.825
21,AABAAABBAAAAABBBABAA,4.0,2.225,8.837
22,AABAAABBAAAABBBABBAA,4.0,2.692,8.761
23,AABAABBBAAAAABBABBAA,4.0,-2.34,7.574
24,AABAAABBAABAAABBABBA,4.0,6.742,7.452
25,AABAAABBAAAAABBABABB,5.0,0.558,7.628
26,AABAAABBAAAAABBBAAAB,5.0,1.235,8.274
27,AABAAABBAAAAAABBABBA,5.0,0.501,7.065
28,AABAAABBAAAAABBBAABA,5.0,2.529,8.736
29,AABAABBAAAAAABBABBAB,5.0,-2.433,5.757
30,AABAAABBAAAAABBBAABA,6.0,2.529,8.736
31,AABAAABBAAAAABBBAAAA,6.0,1.155,5.034
32,AABAAABBAAAABBBAAABB,6.0,1.67,8.442
33,AABAABBBAAAAABBBAAAB,6.0,-2.3,7.422
34,AABAAABBAABAAABBBAAB,6.0,6.107,7.611
35,AABAAABBAAAABBBAABAB,7.0,0.926,7.645
36,AABAAABBAAAAABBBAABB,7.0,0.699,7.843
37,AABAAABBAAAABBBAAAAB,7.0,2.811,8.788
38,AABAABBBAAAABBBAAABB,7.0,-1.666,7.387
39,AABAAABBAAABABBBAABB,7.0,2.927,5.884
40,AABAAABBAAAAABBBABAB,8.0,0.572,7.789
41,AABAAABBAAAAABBBAABA,8.0,2.529,8.736
42,AABAAABBAAAABBBBAABB,8.0,1.448,7.359
43,AABAABBBAAAAABBBAABB,8.0,-2.915,6.923
44,AABAAABBAABAAABBBAAB,8.0,6.107,7.611
45,AABAAABBAAAAABBBABAA,9.0,2.225,8.837
46,AABAAABBAAAAABBBAABB,9.0,0.699,7.843
47,AABAAABBAAAABBBABABA,9.0,2.509,8.234
48,AABAAABBAAAAABBABBAB,9.0,0.812,7.825
49,AABAABBAAAAAABBBABAB,9.0,-2.54,5.817
