,Sequence,Iteration,Z0,Z1
0,AABAAABBAAABABBAAABB,0.0,2.568,7.538
1,AABABAAAABAAABABBABB,0.0,4.628,6.189
2,AAAABABBABBAABBAAABA,0.0,3.285,2.398
3,ABABAAAABAABABBAAABB,0.0,7.369,4.463
4,BAAAAABBABBAAAABAABB,0.0,11.497,-1.014
5,AAABAAABBAAABABBABBA,1.0,0.445,5.506
6,AABAAABBAAABABBAAABB,1.0,2.568,7.538
7,AAAABAABBAABBAAABBBA,1.0,-0.972,1.983
8,ABAAABAAABBAABAAABBB,1.0,11.934,2.921
9,AAAABBAAABBAABAAABBA,1.0,2.788,2.985
10,BAABAAABAAABBAAABBAA,1.0,4.048,9.971
11,AABAAABBAAABABBAABBA,2.0,4.422,6.901
12,AABAAABBAAABABBAAABB,2.0,2.568,7.538
13,AABAABBAAAAABBAAABBA,2.0,0.302,8.252
14,AABAAABBAABBAAAAABBA,2.0,7.446,4.174
15,AAABAAABBAABBAAABBAA,2.0,3.183,5.724
16,AABAAAABBAAABBAAABBA,2.0,3.964,7.744
17,AABAABBAAAAABBAABBAA,3.0,0.024,8.354
18,AABAABBAAAAABBAAABBA,3.0,0.302,8.252
19,AABBAABBAAAAABBAAABA,3.0,1.148,8.106
20,AABAABBAAAABABBAABAA,3.0,3.021,9.023
21,AABAAABBAAAABBBAABBA,3.0,1.883,8.39
22,BAABAABAAAAABBAAABBA,3.0,2.906,6.048
23,AABBAABBAAAAABBAABAA,4.0,0.024,8.354
24,AABBAABBAAAAABBAAABA,4.0,1.148,8.106
25,AABBAABBAAAAABBAAABB,4.0,-3.371,6.824
26,AABAABBAAAABBBAABBAA,4.0,2.305,7.969
27,AABAABBAAAAABBAABBAA,4.0,0.024,8.354
28,AABAAABBAAAABBBAABBA,4.0,1.883,8.39
29,BAABBAABBAAAAABBAAAA,4.0,-1.655,1.342
30,AABBAABBAAAABBAABABA,4.0,3.18,7.554
31,AABBAABBAAAAABBAAABA,5.0,1.148,8.106
32,AABAABBAAAABBBAABABA,5.0,6.062,7.131
33,AABAABBAAAABBBAABBAA,5.0,2.305,7.969
34,AABBAABBAAAABBAAABBA,5.0,-0.683,8.019
35,AABAABBAAAAABBBAABAA,5.0,1.322,8.926
36,AABBAABAAAABBBAABBAA,5.0,1.234,7.947
37,AABAABBAAAAABBBAAABA,6.0,2.554,8.716
38,AABAABBAAAAABBBAABAA,6.0,1.322,8.926
39,AABBAABAAAAAABBBAABA,6.0,-1.387,6.089
40,AABAABBAAAABBBAAABBA,6.0,3.302,8.125
41,BAABAABAAAAABBBAABAA,6.0,0.113,7.95
42,AABAABBAAAAABBAABBBA,6.0,-1.006,7.346
43,AABAABBAAAAABBBAABAA,7.0,1.322,8.926
44,BAABAABAAAAABBBAAABA,7.0,2.69,7.749
45,BAABAABAAAAABBBAABAA,7.0,0.113,7.95
46,AABAABAAAAABBBAABBAA,7.0,5.106,6.437
47,BAABAABAAAAABBAAABBA,7.0,2.906,6.048
48,AABAABAAAAAABBBAABBA,7.0,3.124,5.016
49,AABAABBAAAAABBBAABAA,8.0,1.322,8.926
50,BAABAABAAAAABBBAABAA,8.0,0.113,7.95
51,AABAABBAAAAABBBAAABA,8.0,2.554,8.716
52,AABAABAAAAABBBAAABBA,8.0,6.203,5.398
53,BAABAABAAAAABBAAABBA,8.0,2.906,6.048
54,BAABAABBAAAABBBAAABA,9.0,3.647,8.283
55,BAABAABBAAAABBBAABAA,9.0,0.591,8.468
56,BAABAABBAAAABBAAABBA,9.0,4.465,6.963
57,AABAABBAAAAAABBBAABA,9.0,-1.086,7.046
58,AABAABBAAAAAABBAAABA,9.0,1.174,7.238
59,BAABAABAAAAABBBAABAA,9.0,0.113,7.95
60,BAABAABBAAAAABBAAABA,9.0,3.187,7.272
