,Sequence,Iteration,Z0,Z1
0,AABBABBAAAAABBAAABAB,1.0,-3.002,6.056
1,AABAAABABAABBAAABBBA,1.0,6.989,6.67
2,AAABBABABBBAAAAABAAB,1.0,3.337,2.378
3,ABAAABABAABAAABBABAB,1.0,10.05,5.117
4,AAAAABABABBBAAAAABBB,1.0,2.389,-1.193
5,AABBAABAABAABBAAABAB,2.0,5.643,8.861
6,ABBBAABAAAABBBAABBAB,3.0,7.209,2.645
7,AABBAABAAAAABBAAABAB,4.0,-0.355,6.78
8,AABBAABAABBABBAAAAAB,4.0,7.843,3.494
9,ABBBAABBAAAAABBAABAB,5.0,-1.237,3.576
10,AABBAABAABAABBAABBAB,5.0,7.689,6.98
11,BABBBABAABABBBAAAAAB,6.0,9.773,-0.799
12,AABBAABAAAAABAAAABAB,7.0,3.063,5.079
13,AAABAABAAAAABBAAABAB,8.0,2.751,5.63
14,AABBAABABABABBAAABAB,9.0,12.628,4.772
15,AABBAABBAAAABBAAAAAB,10.0,0.435,7.031
16,AABBAABAAAAABBAAABAA,10.0,3.578,8.435
17,AABBAABAAAAABBAAABAA,10.0,3.578,8.435
18,AABBAABBAABABBAABAAA,11.0,3.176,4.943
19,AABBAABBAAAABBAAAAAA,11.0,-0.869,-0.793
20,ABBBBABBBAAABBAAAAAB,12.0,7.673,1.281
21,AAABAABAAAAABBAAAAAB,13.0,3.939,3.974
22,AABBAABBAAABABBAAAAB,14.0,1.827,7.796
23,BABBAABBAAABABABAAAB,15.0,10.426,3.539
24,AABAAABBAAABABBAAAAB,16.0,3.922,8.225
25,AABBAABBAAABAABAAAAB,16.0,4.609,9.171
26,BBBBAAABAAABABBAAAAB,17.0,6.696,4.305
27,AAABAAAAAAABABBAAABB,18.0,5.306,-2.481
28,AABBAABBAAABABBAAABB,19.0,1.834,7.232
29,AABBAABBABABABBAAAAB,19.0,9.651,5.214
30,AABBAABBAABBABBAAAAB,19.0,10.496,4.942
31,AAABAABBAABAAABAAAAB,20.0,6.474,5.285
32,ABBBBABBABAAABBAAABB,20.0,11.573,3.32
33,BABBBBBAAABBABBAAAAB,21.0,8.933,1.526
34,AABBAABBABABBBBABAAB,22.0,14.361,3.734
35,AABBABBBAAABABBAAAAB,23.0,1.911,6.865
36,AAABAABAAAABABBAAAAB,24.0,5.006,5.646
37,BABBAABBAABBAABAAAAB,24.0,11.847,1.007
38,AABBAABBAAAAABBAAAAB,25.0,-1.383,7.158
39,AABBAABBAAABABBAABAB,26.0,5.163,6.515
40,AABBBABBAAABAAAAAAAB,27.0,6.422,0.025
41,ABBBAABBAABBABBBAABB,28.0,16.524,2.075
42,AABBABBBABAAABBAAAAB,29.0,2.7,6.504
43,AABBBAABAAABAABAABAB,29.0,4.259,9.032
44,AABBBABBAABBABBAAAAB,29.0,10.853,4.289
45,AAABABBAAAABABBABBAB,30.0,-2.473,4.14
