,Sequence,Iteration,Z0,Z1
0,ABABBABAABAAAABAABAB,0.0,5.762,5.658
1,ABABABAAAAAABABBBAAB,0.0,-1.494,2.172
2,AAAAABBABABAABBBAAAB,0.0,-1.82,0.167
3,BAAAAABBAABBBAABAAAB,0.0,12.356,0.609
4,BAAABAAAABABBABABAAB,0.0,14.852,0.956
5,AAAAABAABABBABAAABAB,1.0,2.983,-0.963
6,AAABAABAABABBABAAABA,1.0,9.777,3.996
7,ABABBABAABAAAABAABAA,1.0,9.18,4.242
8,AAABBABAABAAAABAABAB,1.0,-0.381,7.254
9,ABABAABAABAAAABAABAB,1.0,9.8,6.168
10,AAABBABAABAAAABAABAA,2.0,7.173,5.996
11,BAABBABAABAAAABAABAB,2.0,8.657,2.035
12,AAABBABAABAAAABAABBA,2.0,0.996,7.745
13,AABBBABAABAAAABAABAB,2.0,0.715,7.249
14,AAABBABAABAAAABAABBB,2.0,-0.72,7.205
15,AAABBABAABAAAABAABBA,3.0,0.996,7.745
16,AAABBABAABAAAABAABAB,3.0,-0.381,7.254
17,AAABBABAABAAAABAABAA,3.0,7.173,5.996
18,AAABBABAABAAAABAABBB,3.0,-0.72,7.205
19,AAABBABAABAAAAABAABA,3.0,5.892,5.196
20,AAABBABAABAAAABAABBA,4.0,0.996,7.745
21,AAABBABAABAAAABAABAB,4.0,-0.381,7.254
22,AAABBABAABAAAABAABAA,4.0,7.173,5.996
23,AAABBABAABAAAABAABBB,4.0,-0.72,7.205
24,AAABBABAABAAAABAABAB,4.0,-0.381,7.254
25,AAABBABAABAAAABAABBA,5.0,0.996,7.745
26,AAABBABAABAAAABAABAB,5.0,-0.381,7.254
27,AAABBABAABAAAABAABAA,5.0,7.173,5.996
28,AAABBABAABAAAABAABBB,5.0,-0.72,7.205
29,AAABBABAABAAAABAABBA,5.0,0.996,7.745
30,AAABBABAABAAAABAABBA,6.0,0.996,7.745
31,AAABBABAABAAAABAABAB,6.0,-0.381,7.254
32,AAABBABAABAAAABAABAA,6.0,7.173,5.996
33,AAABBABAABAAAABAABBB,6.0,-0.72,7.205
34,AAABBABAABAAAABAABBA,6.0,0.996,7.745
35,AAABBABAABAAAABAABBA,7.0,0.996,7.745
36,AAABBABAABAAAABAABAB,7.0,-0.381,7.254
37,AAABBABAABAAAABAABAA,7.0,7.173,5.996
38,AAABBABAABAAAABAABBB,7.0,-0.72,7.205
39,AAABBABAABAAAABBABBA,7.0,-1.589,6.905
40,AAABBABAABAAAABAAABB,8.0,1.728,7.619
41,AAABBABAABAAAABAABBA,8.0,0.996,7.745
42,AAABBABAABAAAABAABAB,8.0,-0.381,7.254
43,AAABBABAABAAAABAABAA,8.0,7.173,5.996
44,AAABBABAABAAAABAAABA,8.0,6.85,6.494
45,AAABBBBAABAAAABAAABB,9.0,1.063,7.797
46,AAABBBBAABAAAABAABBB,9.0,-1.099,7.31
47,AAABBBBAABAAAABAAABA,9.0,6.291,6.731
48,AAABBBBAABAAAABAAABA,9.0,6.291,6.731
49,AAABBBBAABAAAABAAABA,9.0,6.291,6.731
