,Sequence,Iteration,Z0,Z1
0,AAABBABBAAABABAABAAB,0.0,2.659,7.046
1,AAABAAABBAABBBAABAAB,0.0,3.289,4.029
2,ABBABAAAAAAABBBAABAB,0.0,0.244,-1.434
3,ABBBAAABABABAAAAAABB,0.0,10.053,-1.018
4,ABAAABAAABBBABAABAAB,0.0,18.399,2.064
5,AAABBABBAAABABAABAAB,1.0,2.659,7.046
6,AAABBABBAAABABAABBAB,1.0,-1.686,5.356
7,AAABBABBAAABABAABABB,1.0,-1.288,5.535
8,AAABBABBAAABABABABAA,1.0,0.674,5.885
9,AAABBABBAAABABBAAAAB,1.0,-1.695,6.024
10,AAABBABBAAABABAABAAA,2.0,1.172,6.17
11,BAABBABBAAABABAABAAB,2.0,16.063,3.325
12,AAABBABBAAABABAABABA,2.0,6.35,6.616
13,AAABBAABAAABABAABAAB,2.0,4.494,8.021
14,AAABBABBBAABABAABAAB,2.0,6.68,6.204
15,AAABBABBAAABABAAAAAB,3.0,0.198,5.018
16,AAABBABBAAABAAAABABB,3.0,-0.142,7.251
17,AAABBAABAAABABAABBAA,3.0,3.091,8.659
18,AAABBABBAAABABAABBBA,3.0,0.594,5.795
19,AAABBABBAAABABBABABA,3.0,2.032,5.367
20,AAABBABBAAABAAAABABA,4.0,2.795,7.844
21,AAABBABBAAABAAAABBAB,4.0,-0.517,7.277
22,AAABBABBAAABAAAABBBB,4.0,0.661,7.384
23,AAABBAABAAABABAABABA,4.0,6.043,7.634
24,AAABBAABAAABABAABBAB,4.0,0.075,6.419
25,AAABBABBAAABAAAABBBA,5.0,-0.004,7.784
26,AAABBABBAAABAAAABABB,5.0,-0.142,7.251
27,AAABBABBAAABAAAABBAA,5.0,2.284,8.272
28,AAABBABBAAABAAABAABB,5.0,0.42,8.118
29,AAABBABBAAABAAABBBAB,5.0,-1.35,7.06
30,AAABBABBAAABAAABAABA,6.0,4.949,8.798
31,AAABBABBAAABAAABABBB,6.0,-0.733,7.127
32,AAABBBBBAAABAAAABABA,6.0,3.222,8.485
33,AAABBBBBAAABAAAABBAB,6.0,0.463,7.879
34,AAABBBBBAAABAAAABBAA,6.0,3.539,8.846
35,AAABBBBBAAABAAAABBBB,7.0,1.448,7.74
36,AAABBBBBAAABAAAABABB,7.0,0.623,7.803
37,AAABBBBBAAABAAAABBBA,7.0,0.939,8.373
38,AAABBBBBAAABAAABBAAB,7.0,-0.024,8.009
39,AAABBBBBAAABAAABABAB,7.0,-0.545,7.709
40,AAABBBBBAAABAAAABBBA,8.0,0.939,8.373
41,AAABBBBBAAABAAAABBAA,8.0,3.539,8.846
42,AAABBBBBAAABAAAABABA,8.0,3.222,8.485
43,AAABBBBBAAABAAABBBAA,8.0,1.359,8.654
44,AAABBBBBAAABAAABBAAA,8.0,2.551,8.445
45,AAABBBBBAAABAAABBBAB,9.0,-0.55,7.576
46,AAABBBBBAAABAAABBBBA,9.0,0.322,8.042
47,AAABBBBBAAABAAABBABA,9.0,1.038,8.151
48,AAABBBBBAAABAAAABBAB,9.0,0.463,7.879
49,AAABBBBBAAABAAAABBBA,9.0,0.939,8.373
